,Entite,Label,Version,liste_contxt_gauche,liste_contxt_droit
224,cn,LOC,kraken,"1
et dit, ", montrant 
225,Dizy,LOC,kraken,"ari, cria ",", combien?"
226,Dizy,LOC,kraken,"a ravoir.
", baillait 
227,plaga,LOC,kraken,anc ct le ,"
dans la m"
228,Mlais,LOC,kraken,"lla Dizy.
",", pas moin"
229,maric,LOC,kraken,devant le ,", il yous "
230,T1I,LOC,kraken,"se
Manot.
","
yON VILLA"
231,Clarisse,LOC,kraken,"les murs.
", a du gout
232,mele,LOC,kraken,e ne m'en , de sit0t;
233,Norine,LOC,kraken,t puis de ,", s'approc"
234,Norine,LOC,kraken,"oir.
Chez ",", on trouv"
235,Roseet,LOC,kraken, entre la , le maitre
236,forcdes,LOC,kraken,surs sont , d'aller a
237,Rosc,LOC,kraken," c'est la
",. lPendant
238,Woyons,LOC,kraken,"rrissons.
",", mes bons"
239,Norine,LOC,kraken,la fille  , par la ma
240,YILLAGE,LOC,kraken,"s1(62
MON ",".
chapcaux"
241,Norine,LOC,kraken,"re Denis,
",", Jean-Cla"
242,Presentement,LOC,kraken,"
graines.
",", nous cou"
243,accouchce,LOC,kraken, Rose est , d'une pet
244,Norine,LOC,kraken,se fille  ,", douce et"
245,rIIImne,LOC,kraken, LLL 7a r ,--aI0N vIL
246,Paris,LOC,kraken, ete voir ,", la
grand"
247,Ca,LOC,kraken,de ville. , leur a co
248,Mlais,LOC,kraken,uestions. , on n'a ja
249,montagne blanche,LOC,kraken,"les
de la ",".
- En ce "
250,Manot,LOC,kraken,"e demanda
",. Est-elle
251,Paris,LOC,kraken,s gens de ," est-
elle"
252,decoree,LOC,kraken,ion. Pour ,", elle l'e"
253,Clarisse,LOC,kraken,"le l'est,
",".
- As-tu "
254,Palais-Royal,LOC,kraken,-tu vu le , et les bo
255,Mlorlincourt,LOC,kraken,"s rues de
", le jour d
256,butiues,LOC,kraken,eeusee de ," de bee-
["
257,Paris,LOC,kraken,", de dire ", pour ricn
258,- Quoil,LOC,kraken," VILLAGE.
", un malin 
259,commencais,LOC,kraken,"que-l, je ", a m'ahuri
260,Parisien,LOC,kraken,je dis au ,":
- A mon "
261,Parisiens,LOC,kraken,ouver aux ," qu'on
n'e"
262,"camaradel1
LA M01SSONl",LOC,kraken,"Roux, mon ","
Ll MiOISS"
263,lepi,LOC,kraken,"ont mnrs, ",", dit-on, "
264,Les blcs,LOC,kraken,"x champs.
", sont mtrs
265,rendez-yous,LOC,kraken,urront au ,".
Assis su"
266,la France,LOC,kraken,as aller  ,"', je
me s"
267,la France,LOC,kraken,"t de
mal  "," l
Ah l po"
268,Morlincourt,LOC,kraken,"inval, de "," et des
en"
269,vILLAk,LOC,kraken,"e.
--P
io ",".
it3
Jean"
270,Fance,LOC,kraken,"ols
de la ",".
Les ferm"
271,France,LOC,kraken,"ller h la
", : faut fa
272,Est,LOC,kraken,ot quitte ,"-ce qu'on
"
273,la France,LOC,kraken,urs sont  ,. lReviend
274,OY,LOC,kraken,"ils ne186
"," VILLAGE.
"
275,la France,LOC,kraken,eux sont  ,".
S'il ple"
276,"placel -
Courons",LOC,kraken,s- Sur la , les embra
277,la France,LOC,kraken,qui ont a ,.MON VILLA
278,me-,LOC,kraken,ercher le ,"
decin, re"
279,MI,LOC,kraken,"ommissio.
",. Ceran va
