Freq. centroide;Centroïde;Cluster;Annotation CENTROIDES;ANNOTATION
;Boucoyranln;LN;;FP
11;Dieul;;FP;
;Dieul;Adieul;;FP
;Dieul;Comeidie;;FP
;Dieul;Dieul;;FP
;Dieul;I99;;FP
;Dieul;MonDieulleScarabee;;FP
;Dieul;Pardieul;;FP
;Dieul;etudier;;FP
1;Y9;;FP;
;Y9;I2;;FP
;Y9;Y9;;FP
1;Ohel;;FP;
;Ohel;Boheme;;AMBIG
;Ohel;I]]]1;;FP
;Ohel;Ohel;;FP
;Ohel;Tohu;;FP
;Ohel;hela;;FP
;Ohel;kohl;;FP
1;Montparnasse;;VP;
;Montparnasse;Debarrassez;;FP
;Montparnasse;Gymnase;;AMBIG
;Montparnasse;Montparnasse;;VP
;Montparnasse;WWt3;;FP
;Montparnasse;boulevardMontparnasse;;VP
;Montparnasse;rs5;;FP
;Montparnasse;theatreMontparnasse;;VP
;Montparnasse;ytP;;FP
3;rueSaint-Guillaume;;VP;
;rueSaint-Guillaume;Wui.h;;FP
;rueSaint-Guillaume;rueSaint-Guillaume;;VP
;rueSaint-Guillaume;rueSaint-Guillaumel;;VP
1;hotel;;AMBIG;
;hotel;cOote;;FP
;hotel;cOte;;FP
;hotel;hotel;;AMBIG
;hotel;hotelPilois;;VP
1;Bas;;FP;
;Bas;Baghavat;;FP
;Bas;Bas;;FP
;Bas;Cuba;;VP
;Bas;aS';;FP
;Bas;aSi;;FP
36;Coucou;;FP;
;Coucou;CAOUTCHOUCS;;FP
;Coucou;Coucou;;FP
;Coucou;JAcouEs;;FP
;Coucou;negresseCoucou;;FP
;Coucou;oiuCoucou;;FP
1;Necrophores;;FP;
;Necrophores;Necro-;;FP
;Necrophores;Necrophores;;FP
;Necrophores;Precede;;FP
;Necrophores;Rhone;;VP
10;Saint-Germain;;VP;
;Saint-Germain;1'AngelusdeSaint-Germain;;AMBIG
;Saint-Germain;Germane;;FP
;Saint-Germain;Maine;;VP
;Saint-Germain;Pres-Saint-Gervais;;VP
;Saint-Germain;Saint-Germain;;VP
;Saint-Germain;Saint-Germain-;;VP
;Saint-Germain;Saint-Germain-des-;;VP
;Saint-Germain;Saint-Germainl;;VP
;Saint-Germain;clocherdeSaint-Germain;;AMBIG
;Saint-Germain;desormais;;FP
;Saint-Germain;tourdeSaint-Germain;;VP
1;Saint-;;AMBIG;
;Saint-;Saint;;AMBIG
;Saint-;Saint-;;AMBIG
;Saint-;Saint-Benoit;;VP
;Saint-;Saint-Cloud;;VP
;Saint-;Saint-Emilion;;FP
;Saint-;Saint-Esprit;;FP
;Saint-;Saint-Nizier;;VP
;Saint-;Saint-Nizierl;;VP
;Saint-;Saint-Pierre;;VP
;Saint-;Saint-Theophile;;FP
;Saint-;Wsa;;FP
;Saint-;egliseSaint-Pierre;;VP
;Saint-;rueSaint-Benoft;;VP
;Saint-;rueSaint-Benoit;;VP
2;Naples;;VP;
;Naples;Naples;;VP
;Naples;Pl;;FP
;Naples;baiedeNaples;;VP
;Naples;ilesMarquises;;VP
;Naples;les86;;FP
55;Pierrotte;;FP;
;Pierrotte;BABAROTTES;;FP
;Pierrotte;Ferrouillat;;FP
;Pierrotte;MlePierrotte;;FP
;Pierrotte;Pierrotte;;FP
;Pierrotte;Pierrotteln;;FP
;Pierrotte;Pierrottetres;;FP
;Pierrotte;ltT;;FP
1;lLE;;FP;
;lLE;Anastagille;;FP
;lLE;Bastille;;VP
;lLE;Celles;;FP
;lLE;Chenilles;;FP
;lLE;Le;;FP
;lLE;Marseille;;VP
;lLE;Vallee;;AMBIG
;lLE;lLE;;FP
;lLE;ruedeLille;;VP
;lLE;talle;;FP
2;Allons;;FP;
;Allons;Allons;;FP
;Allons;Allonsl;;FP
;Allons;Boulons;;FP
;Allons;Grillon;;FP
;Allons;PAPILLON;;FP
;Allons;cimetieredesPapillons;;AMBIG
1;ChutlEntends;;FP;
;ChutlEntends;Chutl;;FP
;ChutlEntends;ChutlEntends;;FP
;ChutlEntends;IW/;;FP
;ChutlEntends;Rendez;;FP
1;Paques;;FP;
;Paques;Afrique;;VP
;Paques;Iacques;;FP
;Paques;Paques;;FP
1;I5;;FP;
;I5;I5;;FP
;I5;I59;;FP
1;Perrache;;VP;
;Perrache;Bach';;FP
;Perrache;Cher;;VP
;Perrache;Pachecon;;FP
;Perrache;Perrache;;VP
;Perrache;laChampenoise;;FP
;Perrache;rr;;FP
1;Lalouette;;FP;
;Lalouette;Bouzanquet;;FP
;Lalouette;Eyssette;;FP
;Lalouette;Lalouette;;FP
;Lalouette;Loupi;;FP
;Lalouette;Muguets;;FP
;Lalouette;lesLalouette;;FP
;Lalouette;maisonLalouette;;VP
1;Rb;;FP;
;Rb;Barbe;;FP
;Rb;RBvE;;FP
;Rb;Rb;;FP
;Rb;W1;;FP
1;eloquence;;FP;
;eloquence;OQu';;FP
;eloquence;Providence;;FP
;eloquence;eloquence;;FP
1;levre;;FP;
;levre;15S;;FP
;levre;Revo-;;FP
;levre;Sevres;;VP
;levre;levre;;FP
;levre;lievre;;FP
1;AY;;FP;
;AY;AY;;FP
;AY;J4;;FP
;AY;WL;;FP
;AY;aY;;FP
;AY;hB;;FP
1;Alsacien;;FP;
;Alsacien;AAcieNM;;FP
;Alsacien;Alsace;;VP
;Alsacien;Alsacien;;FP
;Alsacien;Ci;;FP
1;AI;;FP;
;AI;AI;;FP
;AI;AIa;;FP
;AI;LAi;;FP
;AI;Palais;;AMBIG
;AI;aAI;;FP
;AI;aIl;;FP
1;LL-;;FP;
;LL-;I)y;;FP
